PolFit,QRPivot,MoorePenrose,LinearFit
-174.28044196160957,-174.28044430068456,-174.28037293402576,0.0
-326.8822037979003,-326.8822076956041,-326.8821487299356,0.0
-266.0565360119889,-266.0565388461405,-266.0565162456551,0.0
-123.92161255254287,-123.92161373307401,-123.92160825912015,0.0
-36.38167045137772,-36.38167076191844,-36.38166986545275,0.0
-6.979188293629158,-6.979188347153288,-6.97918824479477,-0.015168437422269193
-0.8746601687402128,-0.8746601747884649,-0.8746601663193712,-0.007882341814110592
-0.06906009668665655,-0.06906009711903216,-0.06906009662323209,-0.0015520857299889915
-0.0031183218716060172,-0.003118321889362855,-0.003118321871336649,-0.00013651876147917
-6.138670778771647e-5,-6.138670810714708e-5,-6.138670781780521e-5,-4.511190614845673e-6
