500,5mil,50mil,500mil,2500mil
0.0075163,0.0050556,0.0536559,0.6249429,2.4981461
0.0023354,0.0042407,0.0424245,0.3951948,6.8288401
0.0018099,0.0098401,0.0452361,0.4007046,4.3583764
0.0016763,0.0038728,0.0640347,0.5473815,4.0783473
0.6476254,0.0049336,0.0395253,0.5567743,3.7821991
0.13219266,0.00558856,0.0489753,0.50499962,4.3091818
