ID_PERSONA,ENT,SEXO,EDAD,NIVACAD,ALFABET,INGTRMEN,HORTRA,CONACT,SITTRA,ENT_PAIS_TRAB,AGUINALDO,VACACIONES,SERVICIO_MEDICO,UTILIDADES,INCAP_SUELDO,SAR_AFORE,CREDITO_VIVIENDA
20499000017000001,20,1,28,4,1,9000,72,10,1,20,1,4,5,8,2,4,6
7003000080000004,7,1,26,4,1,6000,60,10,2,7,1,3,5,7,1,4,6
7062000030300005,7,1,20,3,1,3870,48,10,2,7,2,4,6,8,2,4,6
31034000093700003,31,1,33,3,1,6450,54,10,2,31,2,4,6,8,2,4,6
12028000028600001,12,3,22,3,1,1806,24,16,1,12,2,4,6,8,2,4,6
20059000057100002,20,1,30,3,1,6450,15,10,1,20,2,4,6,8,2,4,6
21090000068300004,21,1,51,8,1,6450,40,10,1,21,1,4,5,8,2,3,5
7090000097300004,7,1,24,3,1,3225,40,10,2,7,2,4,6,8,2,4,6
21139000099600001,21,1,22,3,1,3870,48,10,2,21,2,4,6,8,2,4,6
21148000044800001,21,3,20,4,1,1720,15,15,3,21,2,4,6,8,2,4,6
16105000084500004,16,3,18,3,1,5590,48,10,1,16,1,4,6,8,2,4,6
20450000141600008,20,3,36,2,1,1548,15,10,3,20,2,4,6,8,2,4,6
12055000103500007,12,1,26,3,1,3225,72,10,3,12,2,4,6,8,2,4,6
25006000073000006,25,1,22,4,1,3000,48,10,1,25,1,3,5,7,1,3,5
3003000155700005,3,1,27,11,1,11000,40,10,1,3,1,3,5,7,1,3,6
32037000058200002,32,1,31,3,1,8600,48,10,1,5,1,3,5,8,2,3,5
11044000075900008,11,1,18,3,1,6020,48,10,1,11,1,3,5,7,1,3,5
26019000096900002,26,1,46,3,1,8600,54,10,1,26,2,4,6,8,2,4,6
21132000422200003,21,1,23,2,1,3010,40,10,1,21,2,4,6,8,2,4,6
28039000113000001,28,1,41,4,1,8600,18,10,3,28,2,4,6,8,2,4,6
16070000146200004,16,1,17,5,1,6020,50,10,1,16,2,4,6,8,2,4,6
11001000143100003,11,1,26,4,1,9000,40,10,1,11,1,3,5,7,1,3,5
17018000037900004,17,1,42,5,1,10000,40,10,1,17,1,3,5,8,1,3,5
16037000090700001,16,1,40,2,1,1935,30,10,2,16,2,4,6,8,2,4,6
10021000090400004,10,1,47,2,1,1290,28,10,2,10,2,4,6,8,2,4,6
14022000081300002,14,3,23,2,1,4300,48,10,1,14,2,4,6,8,2,4,6
20517000096800006,20,1,18,3,1,4300,40,10,3,20,2,4,6,8,2,4,6
30032000099600001,30,1,44,4,1,12000,90,10,1,30,1,4,5,7,2,3,5
14024000061000005,14,3,27,13,1,8000,40,10,1,14,1,3,5,8,1,3,5
14037000167600003,14,1,20,3,1,5590,60,10,1,14,2,4,6,8,2,4,6
7093000233200003,7,3,17,3,1,2150,39,10,1,7,2,4,6,8,2,4,6
22006000367700001,22,1,44,11,1,50000,66,10,1,11,1,3,5,7,1,3,5
20249000062100002,20,1,37,4,1,5590,48,10,1,21,1,3,5,8,2,4,6
9007000410400001,9,1,52,11,1,20000,55,10,1,9,1,3,5,8,2,3,5
30064000071100004,30,1,30,4,1,4300,70,10,3,30,2,4,6,8,2,4,6
17004000077000005,17,3,22,3,1,2580,30,10,1,17,2,4,6,8,2,4,6
15026000142500004,15,1,41,13,1,10000,40,10,1,15,1,3,5,7,1,3,5
26041000124100003,26,1,39,3,1,6000,50,10,1,26,1,3,5,7,1,3,5
15047000192600003,15,3,37,2,1,2150,16,10,1,15,2,4,6,8,2,4,6
32017000092700001,32,3,70,11,1,2150,30,10,1,32,1,4,5,8,2,4,6
20130000057300005,20,1,47,4,1,6450,54,10,1,20,2,4,6,8,2,4,6
20269000000500002,20,1,67,3,1,5000,72,10,3,20,2,4,6,8,2,4,6
15014000162800006,15,1,22,4,1,3870,48,10,1,15,1,4,5,7,2,4,6
22017000035900008,22,1,25,11,1,0,45,10,1,22,1,3,5,7,1,3,5
8062000050800001,8,1,24,3,1,5590,48,10,1,8,1,3,5,7,1,3,5
21098000026300001,21,1,25,4,1,1505,50,10,1,21,1,4,6,8,2,4,6
20525000054900004,20,1,23,5,1,1505,15,10,3,20,2,4,6,8,2,4,6
26011000047900003,26,1,16,3,1,3870,24,10,2,26,1,4,5,8,1,4,6
9016000075800002,9,3,46,11,1,6000,56,10,2,9,1,3,5,7,1,3,5
21156000351300003,21,1,35,4,1,10750,40,10,2,21,2,4,6,8,2,4,6
25003000076100003,25,3,22,11,1,10000,40,10,1,25,2,4,5,8,2,4,6
2002000407000004,2,3,37,2,1,5934,48,10,1,2,1,3,5,8,1,3,5
15058000029700003,15,1,41,11,1,10000,50,10,1,15,1,3,5,7,1,3,5
9010000092100001,9,3,57,7,1,10000,48,10,1,9,1,3,5,7,1,3,5
19009000034500006,19,1,62,2,1,6880,70,10,1,19,2,4,6,8,2,4,6
28026000082600003,28,1,43,2,1,2580,24,10,1,28,2,4,6,8,2,4,6
13077000202700002,13,3,39,10,1,5600,45,10,1,13,1,4,5,7,1,4,5
13048000254300002,13,3,27,10,1,7000,32,10,1,13,1,3,6,8,1,4,6
27007000077600002,27,1,44,3,1,3440,49,10,1,27,1,4,6,8,2,4,6
26042000177900002,26,1,54,3,1,7740,40,10,1,26,1,3,5,7,1,3,5
1005000068400002,1,1,53,3,1,5160,48,10,1,1,1,3,5,8,1,3,5
20334001398400005,20,1,14,3,1,3440,72,10,2,20,2,4,6,8,2,4,6
30029000229200004,30,1,21,2,1,1290,24,10,2,30,2,4,6,8,2,4,6
23005000135300001,23,3,24,11,1,6450,48,10,1,23,1,3,6,7,1,3,5
9008000469400001,9,1,58,3,1,3000,40,10,1,9,1,4,6,8,2,4,6
28032000101400003,28,1,20,4,1,7310,11,10,1,28,1,3,5,7,1,3,5
20206000025400001,20,1,31,11,1,10000,40,10,1,20,1,3,5,7,1,3,5
27010000243300001,27,1,51,2,1,2580,36,10,2,27,2,4,6,8,2,4,6
30061000146700003,30,1,42,4,1,4300,84,10,1,30,2,4,6,8,2,4,6
30073000086400006,30,1,25,3,1,4300,84,10,1,30,2,4,6,8,2,4,6
25008000154400003,25,1,36,3,1,7310,48,10,2,25,1,4,5,7,1,3,6
20248000237600005,20,3,23,5,1,4300,50,10,3,20,2,4,6,8,2,4,6
15033000070000004,15,1,57,2,1,4000,45,10,1,15,2,4,6,8,2,4,6
20368000038400006,20,1,23,3,1,6450,45,10,1,20,2,4,6,8,2,4,6
21010000192000001,21,1,27,4,1,4300,60,10,1,14,2,4,5,8,2,4,6
1003000013500002,1,3,27,2,1,2150,5,16,1,1,2,4,6,8,2,4,6
14042000070100003,14,1,28,3,1,8600,45,10,1,14,2,4,6,8,2,4,6
8052000106500003,8,3,23,4,1,3870,48,10,1,8,1,4,6,8,2,4,6
10027000041400001,10,1,71,2,3,4500,25,10,2,10,2,4,6,8,2,4,6
7071000118300002,7,3,43,2,1,3440,60,10,1,7,2,4,6,8,2,4,6
12012000073300002,12,3,30,8,1,7000,40,10,1,12,1,3,6,8,2,4,6
19046000362700001,19,1,35,11,1,10000,48,10,1,19,1,3,5,7,1,3,5
30145000106800001,30,3,38,11,1,5000,20,10,1,30,1,3,5,7,1,3,5
8037000043700001,8,1,28,4,1,7740,55,10,1,8,1,4,5,8,2,4,6
14105000073500003,14,3,53,2,1,5160,36,10,1,14,1,4,6,8,2,4,6
12010000568400004,12,3,26,2,1,2580,48,10,3,12,2,4,6,8,2,4,6
14097000416300003,14,1,19,3,1,6450,48,10,1,14,1,4,5,8,1,3,5
20384000036400002,20,3,22,2,1,2580,60,10,3,20,2,4,6,8,2,4,6
31002000012500001,31,3,55,2,1,5160,48,10,1,31,1,3,5,7,1,3,5
26061000039600001,26,1,49,3,1,15050,48,10,1,26,1,3,5,8,1,3,5
14104000023700003,14,3,25,4,1,8900,50,10,1,14,1,4,6,8,2,4,6
14101000392100005,14,3,30,2,1,5590,72,10,1,14,1,3,5,7,1,3,5
5028000093800004,5,1,29,3,1,8600,48,10,1,5,1,3,5,7,1,3,5
26072000034600002,26,1,45,4,1,3096,42,10,2,26,2,4,5,8,2,4,5
28014000021300001,28,3,54,5,1,9000,20,10,1,28,1,3,6,8,2,4,6
21002000000300001,21,1,59,2,1,6450,54,10,2,21,2,4,6,8,2,4,6
21122000143500001,21,1,21,4,1,5160,56,10,1,21,2,4,6,8,2,4,6
2004000668100003,2,1,22,3,1,5375,36,10,1,2,2,4,6,8,2,4,6
9010000396800003,9,1,68,3,1,0,8,16,3,9,2,4,6,8,2,4,6
17010000045600004,17,3,31,4,1,8600,35,10,1,17,1,3,5,7,1,3,5
7059000116700002,7,1,34,13,1,7000,40,10,1,7,1,3,6,8,1,4,5
20109000033000002,20,1,25,4,1,2150,48,10,2,20,2,4,6,8,2,4,6
13052000132200001,13,1,48,3,1,8600,30,10,1,13,2,4,6,8,2,4,6
15073000002500003,15,1,28,3,1,6450,84,10,1,15,2,4,6,8,2,4,6
11005000475900001,11,3,31,11,1,7740,48,10,1,11,1,3,5,7,1,3,5
15097000087200001,15,1,42,3,1,3440,38,10,2,15,2,4,6,8,2,4,6
9003000475400003,9,3,65,4,1,5160,48,10,1,9,1,4,5,8,1,3,5
21023000005900001,21,1,26,2,1,2580,50,10,1,21,2,4,6,8,2,4,6
31099000045900009,31,1,19,3,1,5160,46,10,3,23,1,4,6,8,2,4,6
8019000368500001,8,3,56,11,1,27000,40,10,1,8,1,3,5,8,1,3,5
11019000145400003,11,1,45,2,3,2580,15,10,2,11,2,4,6,8,2,4,6
30155000170000004,30,1,33,3,1,2580,48,10,3,30,2,4,6,8,2,4,6
12071000563400008,12,3,15,3,1,3870,30,10,1,12,2,4,6,8,2,4,6
12066000075100002,12,3,31,0,3,1290,30,10,3,12,2,4,6,8,2,4,6
31033000046900002,31,3,33,4,1,1720,30,16,1,31,2,4,6,8,2,4,6
30174000050600001,30,1,59,2,1,4300,140,10,3,30,2,4,6,8,2,4,6
15032000132300005,15,3,36,11,1,6000,25,10,1,15,1,3,5,8,2,4,6
30130000154900001,30,1,65,0,3,2580,30,10,2,30,2,4,6,8,2,4,6
22006000021600004,22,1,44,3,1,8600,96,10,1,22,1,4,5,8,2,3,5
21142000193000005,21,1,27,3,1,10750,65,10,3,14,2,4,5,8,2,4,6
14001000087300008,14,1,55,2,1,8600,50,10,1,14,2,4,6,8,2,4,6
16042000072900005,16,1,43,2,1,5160,36,10,2,16,2,4,6,8,2,4,6
20399000239000002,20,3,32,4,1,6450,48,10,1,20,1,3,5,7,1,3,5
20515000147000002,20,1,53,2,1,6000,96,10,1,20,1,3,5,8,1,4,6
10005000105900002,10,3,52,4,1,12000,35,10,1,10,1,3,5,8,1,3,5
20404000018500002,20,1,41,2,1,4300,40,10,3,20,2,4,6,8,2,4,6
11005000350200002,11,1,27,3,1,6020,48,10,1,22,1,3,5,7,1,3,5
11007000256200001,11,3,34,3,1,5600,48,10,1,11,1,3,5,7,1,3,5
5035000053400003,5,1,49,8,1,8000,48,10,1,10,1,3,5,7,2,3,5
14023000086600004,14,1,37,3,1,25800,34,10,1,6,1,3,5,7,1,3,5
15008000006100002,15,1,43,3,1,5160,54,10,1,15,2,4,6,8,2,4,6
24011000013900001,24,1,26,11,1,2150,12,18,3,24,2,4,6,8,2,4,6
13048000030900002,13,3,54,8,1,6880,40,10,1,13,1,3,5,7,1,3,5
15036000008700001,15,1,33,2,3,3010,66,10,1,15,1,4,5,8,2,4,6
30039000572100001,30,1,34,4,1,15000,40,10,1,30,1,3,5,8,1,3,5
20466000181100001,20,1,25,4,1,4300,40,10,2,20,2,4,6,8,2,4,6
16032000104300005,16,1,33,3,1,5160,40,10,1,16,2,4,6,8,2,4,6
18011000001900002,18,3,24,4,1,9460,48,10,1,18,1,3,5,7,1,3,5
14067000478600002,14,1,27,11,1,20000,60,10,1,14,2,4,6,8,2,4,6
16011000240100007,16,3,17,3,1,5160,42,10,1,16,1,4,6,8,2,4,6
32017000190100001,32,1,44,3,1,4300,40,10,2,32,2,4,6,8,2,4,6
32058000035700001,32,3,20,11,1,3200,25,10,1,32,2,4,6,8,2,4,6
21184000000600003,21,3,31,4,1,2150,25,16,2,21,2,4,6,8,2,4,6
14028000060400003,14,1,25,4,1,6020,48,10,1,14,1,3,5,7,1,3,6
30022000112600001,30,1,33,4,1,6880,48,10,1,30,1,3,5,7,1,3,5
16064000128800004,16,3,26,2,3,1290,20,10,2,16,2,4,6,8,2,4,6
9007000127600002,9,3,63,11,1,43000,60,10,1,9,1,3,6,7,1,3,5
21214000071200006,21,1,54,2,1,4300,98,10,1,21,1,3,5,8,2,3,5
17027000146800001,17,1,55,3,1,3010,48,10,1,17,2,4,6,8,2,4,6
15121000465300002,15,1,30,3,1,4300,70,10,1,15,2,4,6,8,2,4,6
15067000162400001,15,1,32,3,1,6880,60,10,1,15,2,3,6,8,2,4,6
9007000400100003,9,3,27,11,1,20000,72,10,1,9,2,4,6,8,2,4,6
24051000008500001,24,1,26,3,1,3000,58,10,1,24,1,4,5,8,2,4,6
13083000143000001,13,1,25,4,1,5160,50,10,1,13,1,3,5,7,1,3,5
21013000160500003,21,1,23,0,1,5590,48,10,2,21,2,4,6,8,2,4,6
17028000128200002,17,1,48,2,1,5590,60,10,2,17,2,4,6,8,2,4,6
15104000348200005,15,1,34,3,1,4300,70,10,1,15,2,4,6,8,2,4,6
12030000103100004,12,3,34,3,1,2600,12,10,1,12,2,4,6,8,2,4,6
12072000064600005,12,3,36,10,1,12000,40,10,1,12,1,3,5,8,1,4,5
8028000067800002,8,1,63,2,1,8600,49,10,1,8,2,4,5,8,2,4,6
30017000055000002,30,1,17,3,1,3440,40,10,1,30,2,4,6,8,2,4,6
15106000477700002,15,1,34,3,1,4730,55,10,1,15,2,4,6,8,2,4,6
28040000167400001,28,1,37,11,1,15050,70,10,1,28,1,3,5,8,1,3,5
13006000093500006,13,3,48,3,1,3010,32,10,1,13,2,4,6,8,2,4,6
7108000154300009,7,1,24,2,1,3870,48,10,2,7,2,4,6,8,2,4,6
14005000104300002,14,1,25,4,1,5160,48,10,2,14,2,4,6,8,2,4,6
5030000314500003,5,1,26,4,1,8600,48,10,1,5,1,3,5,7,1,3,5
30144000064100002,30,1,65,0,3,3010,40,10,2,30,2,4,6,8,2,4,6
20482000148500001,20,1,50,2,3,3440,45,10,2,20,2,4,6,8,2,4,6
7017000024400003,7,3,59,3,1,7600,48,10,1,7,1,3,5,8,2,4,6
30211000089400001,30,1,64,2,1,6665,72,10,2,30,1,4,6,8,2,4,6
16066000030500006,16,1,60,3,1,4300,72,10,1,16,1,3,6,8,2,4,6
20041000169500007,20,3,55,3,1,2400,58,10,1,20,2,4,6,8,2,4,6
27014000132000001,27,1,59,11,1,26,40,10,1,4,1,3,5,7,1,3,5
15060000393600004,15,1,48,4,1,8600,70,10,1,15,1,4,6,8,2,4,6
7073000111500001,7,3,19,2,1,1806,48,10,2,7,2,4,6,8,2,4,6
25014000161000001,25,3,20,3,1,5590,48,10,2,25,2,4,6,8,2,4,6
16066000115500001,16,1,28,3,1,10750,0,20,3,16,1,4,6,8,1,4,6
17006000420800002,17,1,49,11,1,12000,60,10,1,17,1,3,5,7,1,3,5
30021000033900002,30,1,64,3,1,5160,60,10,1,30,2,4,6,8,2,4,6
