ID_PERSONA,ENT,SEXO,EDAD,NIVACAD,ALFABET,INGTRMEN,HORTRA,CONACT,SITTRA,ENT_PAIS_TRAB,AGUINALDO,VACACIONES,SERVICIO_MEDICO,UTILIDADES,INCAP_SUELDO,SAR_AFORE,CREDITO_VIVIENDA
15084000083600004,15,1,60,4,1,3870,72,10,1,15,1,3,5,8,2,4,6
20324000186200002,20,3,28,2,1,7525,56,10,1,20,2,4,6,8,2,4,6
14031000080600003,14,1,41,2,1,10750,48,10,1,14,2,3,5,8,1,4,6
18006000032000001,18,1,50,4,1,5000,48,10,1,18,1,4,6,8,2,4,6
21028000026800004,21,1,39,3,1,2580,48,10,2,21,2,4,6,8,2,4,6
20043000234200004,20,1,19,4,1,7740,7,10,2,20,2,4,6,8,2,4,6
15048000076800005,15,1,44,3,1,12900,60,10,1,15,2,4,6,8,2,4,6
11026000063000003,11,3,40,3,1,4000,48,10,1,11,1,3,6,8,1,3,6
16055000083700005,16,3,24,10,1,9000,48,10,1,16,1,3,5,8,1,3,5
12023000044600006,12,1,27,2,1,2150,20,10,2,12,2,4,6,8,2,4,6
6007000225900001,6,3,28,11,1,9000,45,10,1,6,1,3,5,7,1,3,5
16053000109900001,16,1,55,11,1,30000,60,10,1,16,1,3,5,7,1,3,5
21074000081600003,21,3,43,8,1,7740,54,10,1,21,1,3,6,8,1,4,6
4011000011100001,4,1,37,0,3,6450,48,10,1,4,2,4,6,8,2,4,6
13031000015400004,13,1,44,5,1,3870,56,10,3,13,1,4,6,8,2,4,6
12008000003500001,12,1,31,10,1,10750,80,10,1,12,1,4,6,8,2,4,6
11030000193600002,11,1,52,2,1,3440,70,10,2,11,2,4,6,8,2,4,6
32056000128500001,32,3,30,11,1,4,33,10,1,32,1,3,5,8,1,4,6
30062000080000003,30,1,25,4,1,6450,40,10,1,30,2,4,6,8,2,4,6
7063000036400001,7,3,20,4,1,3600,25,10,1,7,2,4,6,8,2,4,6
28009000102800002,28,1,34,11,1,8000,48,10,3,28,1,3,6,8,2,4,6
9013000259400001,9,3,35,4,1,8000,60,10,1,9,1,3,5,7,1,3,5
18019000232700001,18,1,26,3,1,3440,40,10,1,18,2,4,6,8,2,4,6
20081000034700005,20,1,33,4,1,4300,70,10,1,20,2,4,6,8,2,4,6
28032000121600001,28,1,32,3,1,6665,40,10,1,28,1,3,5,7,1,3,5
30193000587100001,30,1,21,4,1,0,8,10,1,30,2,4,6,8,2,4,6
18019000185300001,18,3,52,0,3,2580,28,10,3,18,2,4,6,8,2,4,6
20306000065100005,20,1,50,2,1,3010,48,10,3,20,2,4,6,8,2,4,6
14113000064000004,14,3,21,2,1,2200,48,10,3,14,2,4,6,8,2,4,6
17004000066600004,17,1,43,3,1,5117,54,10,1,17,2,4,6,8,2,4,6
13030000225200002,13,1,22,4,1,3440,40,10,1,13,2,4,6,8,2,4,6
30036000087700003,30,1,78,2,1,5160,60,10,1,30,2,4,6,8,2,4,6
21015000057500003,21,3,30,3,1,6880,48,10,1,21,1,3,5,8,2,4,6
20143000037400001,20,1,34,11,1,10000,30,10,1,20,1,3,5,8,1,3,5
31007000048000002,31,3,32,11,1,12000,40,10,1,31,1,4,5,8,1,3,5
20068000180400008,20,1,34,0,3,3440,80,10,1,20,2,4,6,8,2,4,6
1010000101200001,1,1,24,2,1,3870,56,10,3,1,2,4,6,8,2,4,6
15100000064500001,15,3,35,4,1,6450,54,10,1,15,2,4,5,7,1,4,6
19033000155100005,19,3,28,11,1,8000,25,10,1,19,1,3,5,7,1,3,5
13060000118500004,13,1,19,3,1,1935,24,10,2,13,2,4,6,8,2,4,6
15070000418100002,15,1,29,3,1,6450,54,10,1,15,2,4,6,8,2,4,6
32017000166900002,32,1,44,4,1,7400,48,10,1,32,1,3,5,7,1,3,5
21078000156300001,21,1,21,3,1,1290,24,10,2,21,2,4,6,8,2,4,6
8040000137500001,8,1,49,3,1,10750,40,10,1,8,2,4,5,8,2,4,6
30116000058000003,30,3,21,11,1,4300,40,15,1,30,1,3,5,7,1,3,5
20540000060300002,20,3,45,4,1,4000,48,10,1,20,1,3,6,8,2,4,6
1011000090400005,1,3,47,3,1,5160,42,10,1,1,1,3,5,7,1,3,5
29021000043600001,29,1,22,5,1,4730,45,10,1,29,2,4,6,8,2,4,6
14100000043200004,14,1,37,4,1,6800,46,10,1,14,1,3,5,8,1,3,5
13028000176900003,13,1,39,2,1,6020,120,10,2,13,2,4,6,8,2,4,6
16076000118800003,16,1,28,3,1,7740,56,10,3,16,2,4,6,8,2,4,6
15021000169400004,15,1,52,2,1,6880,48,10,3,15,2,4,6,8,2,4,6
6009000282500004,6,1,14,3,1,860,21,10,3,6,2,4,6,8,2,4,6
13032000009600002,13,3,60,0,3,2580,36,10,3,13,2,4,6,8,2,4,6
31061000087100001,31,1,42,3,1,4730,48,10,1,31,1,3,5,7,1,3,5
7060000025700004,7,3,26,4,1,1720,8,10,1,7,1,4,6,8,2,4,6
13081000109200001,13,1,32,3,1,6450,60,10,1,13,2,4,6,8,2,4,6
11025000203600002,11,1,30,2,1,3440,30,10,1,11,2,4,6,8,2,4,6
14120000125600001,14,3,28,4,1,5160,56,10,1,14,1,3,5,8,1,3,6
24025000063900004,24,1,42,0,3,4300,45,10,1,24,1,4,5,8,1,4,6
10031000007400005,10,1,37,4,1,1290,9,10,1,10,1,3,6,8,2,4,6
15033000470700003,15,1,50,8,1,12000,40,10,1,15,1,3,5,8,2,4,6
11001000092700001,11,1,65,2,1,3440,50,10,1,11,1,3,6,8,2,4,6
17007000328500006,17,1,28,3,1,4300,60,10,1,17,1,4,6,8,2,4,6
20084000111400001,20,3,28,11,1,6000,40,10,1,20,1,4,6,8,2,4,6
26047000073700002,26,1,31,4,1,14000,40,10,1,26,1,3,5,8,1,3,6
11031000140500002,11,3,25,4,1,3440,47,10,1,11,2,4,6,8,2,4,6
21019000149100001,21,3,40,4,1,8000,48,10,1,21,1,3,5,8,2,4,6
22012000004400001,22,1,65,2,1,3440,20,10,2,22,2,4,6,8,2,4,6
15024000101100005,15,1,32,4,1,5000,48,10,1,15,1,3,5,7,1,3,5
32026000006400004,32,3,48,3,1,4000,25,10,3,32,2,4,6,8,2,4,6
30127000205100004,30,1,56,0,3,4300,55,10,1,30,2,4,5,8,2,4,6
16052000345500001,16,3,61,11,1,14000,50,10,1,16,1,3,5,8,1,3,5
19021000400100001,19,1,34,3,1,10000,48,10,1,19,1,3,5,7,1,3,5
