500,5mil,50mil,500mil,2500mil
2.1893341,0.8587945,0.1154446,1.2638152,5.7416258
0.0046981,0.0123335,0.112585,0.9338043,8.7635399
0.0030153,0.0405982,0.1373223,1.1560912,7.9550452
0.0028519,0.0095491,0.1008566,0.9868008,7.8271849
0.003,0.010,0.125,1.019,8.479
0.441,0.186,0.118,1.072,7.753
