500,5mil,50mil,500mil,2500mil
2.6487275,0.9076225,0.0664048,1.2520931,3.7186134
0.0026021,0.0415888,0.08402,0.6017029,7.3042999
0.0029798,0.0103718,0.0794005,0.8525677,6.4256672
0.0028309,0.0090795,0.0781141,0.6075361,5.7960492
0.0027972,0.0089267,0.0648773,0.6704799,6.5896352
0.0028076,0.196,0.075,0.797,5.967
