Name,Coef.,Std. Error,t,Pr(>|t|),Lower 95%,Upper 95%
(Intercept),4197.473266136608,282.34686549636007,14.866371045974018,5.584703685651128e-50,3644.0822388613938,4750.864293411822
SEXO: 3,-1455.6810229474884,45.23402642814899,-32.181106522978524,5.548258873230881e-227,-1544.338300260844,-1367.0237456341326
EDAD,35.15268848792473,1.6454043143675317,21.364164528422844,3.1969995588963944e-101,31.927747484205117,38.37762949164434
NIVACAD: 1,357.5089542206785,471.86665688511107,0.7576482656788439,0.448661934663507,-567.3349378179917,1282.3528462593486
NIVACAD: 2,38.99786419112071,153.63080461879443,0.2538414368647387,0.7996181640293952,-262.1137087659673,340.1094371482087
NIVACAD: 3,399.23281617280435,159.56470619944093,2.50201204064388,0.0123492893308429,86.49098167308796,711.9746506725207
NIVACAD: 4,948.9120186320512,163.55491382524843,5.8017946171028765,6.564825983626436e-9,628.3495019611156,1269.4745353029866
NIVACAD: 5,1144.0235821494075,211.20448260982732,5.416663358716877,6.07494147385217e-8,730.0694006814741,1557.9777636173408
NIVACAD: 6,1106.4298076689831,560.7892207871439,1.9729869381511265,0.04849760049251953,7.300471025913112,2205.559144312053
NIVACAD: 7,1135.6408391179596,281.58716923702383,4.032999238548553,5.50776213617673e-5,583.7387927550435,1687.5428854808756
NIVACAD: 8,2521.817954594384,240.65943721460772,10.478782730409016,1.0879213841533247e-25,2050.1329831691087,2993.5029260196593
NIVACAD: 9,4112.596603613834,784.2494241603366,5.243990593958065,1.572039083730755e-7,2575.4922560478485,5649.700951179821
NIVACAD: 10,4291.124346677719,252.0058606997745,17.027875204021232,5.322877948339764e-65,3797.2007400286466,4785.047953326791
NIVACAD: 11,4900.209512736779,167.09730373378179,29.325485230711788,7.10923298718448e-189,4572.704022617046,5227.715002856513
NIVACAD: 12,9996.94537636176,413.3303438672207,24.186333098189387,3.678152903543529e-129,9186.8308273846,10807.059925338921
NIVACAD: 13,10734.342645102712,230.06582670778886,46.657701400984735,0.0,10283.42081900443,11185.264471200993
NIVACAD: 14,13311.37898940731,448.9822541998219,29.64789557914913,5.315013998256859e-193,12431.387811027525,14191.370167787096
HORTRA,41.407563311376556,1.194361723557132,34.66919819571381,4.7266782640619966e-263,39.066651681365926,43.74847494138719
ENT_PAIS_TRAB: 2,1767.9566569504284,306.1729310038141,5.774372839408212,7.728573320758371e-9,1167.867286331054,2368.046027569803
ENT_PAIS_TRAB: 3,1808.6494210616956,360.5233054667107,5.016733713567649,5.257528483783719e-7,1102.0350160526525,2515.263826070739
ENT_PAIS_TRAB: 4,1222.3667138559854,320.60705338114457,3.8126631992803026,0.00013749387627460754,593.9869147377331,1850.7465129742377
ENT_PAIS_TRAB: 5,150.24252913255393,254.2360702686393,0.5909567787678581,0.5545496480313095,-348.0522185319621,648.53727679707
ENT_PAIS_TRAB: 6,569.9852788252002,331.63972019573896,1.7186882152981735,0.08567177809987407,-80.01820225382198,1219.9887599042224
ENT_PAIS_TRAB: 7,-1615.746753442899,230.77430027904813,-7.001415458693481,2.53706278710243e-12,-2068.0571655866015,-1163.4363412991966
ENT_PAIS_TRAB: 8,1675.5404620490344,251.49790879850278,6.662244111904159,2.6995525317115665e-11,1182.6124252425986,2168.46849885547
ENT_PAIS_TRAB: 9,2397.809840452238,230.94810477462514,10.382461647789592,2.9975916260576754e-25,1945.1587769321395,2850.4609039723364
ENT_PAIS_TRAB: 10,-398.5862764270857,270.6821443621562,-1.4725251913691122,0.1408797389622699,-929.1148150396828,131.9422621855113
ENT_PAIS_TRAB: 11,534.2197013201982,236.29467812867156,2.260819860823505,0.023770842231679034,71.08952121562265,997.3498814247737
ENT_PAIS_TRAB: 12,-928.8484955939143,240.69350398343002,-3.859050951611302,0.00011384248953691334,-1400.6002368208,-457.09675436702867
ENT_PAIS_TRAB: 13,-655.0771881702013,235.88330375990012,-2.7771240173784766,0.0054844290646562715,-1117.4010873758234,-192.75328896457938
ENT_PAIS_TRAB: 14,509.4899529336069,223.91019166146418,2.2754210031846984,0.022881107867472234,70.63297903698992,948.3469268302239
ENT_PAIS_TRAB: 15,320.34355205957985,221.0309811298361,1.4493151612597077,0.14725021620144102,-112.87025922909305,753.5573633482527
ENT_PAIS_TRAB: 16,142.7964402791306,228.9848228174754,0.6236065714842338,0.5328862783558093,-306.00665199755406,591.5995325558152
ENT_PAIS_TRAB: 17,-101.23950788784394,254.72312153145782,-0.39744922753445866,0.6910363898657987,-600.4888607971995,398.00984502151164
ENT_PAIS_TRAB: 18,-49.65197523408098,281.4558069443699,-0.17641126602832805,0.8599709259111173,-601.296555611146,501.9926051429841
ENT_PAIS_TRAB: 19,1771.5167737975112,238.4010493233072,7.430826243533314,1.080919787193812e-13,1304.2581720185065,2238.775375576516
ENT_PAIS_TRAB: 20,-739.5026933728425,221.38815885133613,-3.340299215683998,0.0008369429064092854,-1173.4165618265674,-305.58882491911754
ENT_PAIS_TRAB: 21,-1060.007085819266,221.70981926091474,-4.781056109074799,1.7442616961261598e-6,-1494.5513986173173,-625.4627730212146
ENT_PAIS_TRAB: 22,634.4568470802158,264.7486223652089,2.396450041598369,0.0165551150842919,115.55782603806642,1153.355868122365
ENT_PAIS_TRAB: 23,401.60155930633124,298.9023840329697,1.3435876753061748,0.1790823669240445,-184.23776660305458,987.4408852157171
ENT_PAIS_TRAB: 24,-368.07831827889714,245.62899567349803,-1.4985133056854765,0.13400056964334622,-849.5034688835477,113.34683232575344
