,2500mil,500,500mil,50mil,5mil
1,25.176,25.007,28.563,30.054,24.299
2,24.308,26.294,24.633,29.691,23.953
3,24.730,24.445,23.476,31.002,26.099
4,24.256,25.929,22.608,25.153,27.854
5,25.373,24.175,27.098,22.622,26.276
6,24.769,25.170,25.276,27.704,25.696
