,2500mil,500,500mil,50mil,5mil
1,32.372,32.792,30.134,31.163,30.028
2,31.485,31.166,30.294,30.376,29.252
3,31.841,33.211,30.425,30.247,29.618
4,30.709,30.583,32.572,29.715,30.008
5,35.386,29.429,34.507,29.170,33.489
6,32.359,31.436,31.586,30.134,30.479
