"","2500mil","500","500mil","50mil","5mil"
"fit5",24.7686813831329,25.1698582172394,25.2756637096405,27.7042185306549,25.6962600708008
"fit6",30.22712059021,29.946603012085,29.1058351516724,29.6727764129639,25.2630415916443
"fit7",32.1065214633942,27.2211606502533,27.027596282959,27.350407075882,30.8146858692169
"fit8",32.3586412906647,31.4361778259277,31.5864129543304,30.1342743396759,30.4789651870728
"fit9",34.3469259738922,34.2804169654846,35.2474705219269,37.6945513725281,33.7834263324738
"fit10",42.7111702442169,34.6766552448273,33.8866631507874,34.3083814144135,35.0869807720184
