,2500mil,500,500mil,50mil,5mil
1,37.533,34.413,33.635,33.193,38.886
2,42.876,34.472,32.941,33.011,34.995
3,52.031,35.584,34.370,33.863,33.753
4,37.539,34.263,34.946,37.403,33.439
5,43.577,34.652,33.542,34.071,34.361
6,42.711,34.677,33.887,34.308,35.087
