,2500mil,500,500mil,50mil,5mil
1,36.405,37.580,33.028,32.458,33.077
2,33.044,32.587,34.401,33.474,33.267
3,32.625,33.301,42.751,41.906,32.590
4,33.104,34.349,33.579,40.894,34.104
5,36.557,33.585,32.479,39.741,35.879
6,34.347,34.280,35.247,37.695,33.783
