,GLM,QRvEcon,MoorePenrose,Polynomials
1,0.8742564,7.45E-05,8.87E-05,7.44E-05
2,0.0004207,9.95E-05,0.0001223,0.0001109
3,0.0005695,0.0001447,0.0001846,0.0001438
4,0.0005448,0.000144,0.0001651,0.0001532
5,0.0004300,9.55E-05,0.0001494,0.0001747
6,0.0004285,0.000129,0.0001281,0.0001563
mean,0.17524428,0.00011164,0.00014202,0.0001314
