"","GLM","QRvEcon","MoorePenrose","Polynomials"
"1",0.8186625,0.0001203,0.0001356,0.0001253
"2",0.0004542,0.0001727,0.0002118,0.0001829
"3",0.0011344,0.0001775,0.0002072,0.0001695
"4",0.0005783,0.0001699,0.0002023,0.0001678
"5",0.0004987,0.0001644,0.0001953,0.0001655
"mean",0.16426562,0.00016096,0.00019044,0.0001622
