,GLM,QRvEcon,MoorePenrose,Polynomials
1,0.8220906,0.0001591,0.0001445,0.000139
2,0.0004615,0.0001893,0.0002865,0.0002042
3,0.0004669,0.0003124,0.000293,0.0002167
4,0.0005048,0.0002573,0.0002344,0.0002243
5,0.0006263,0.0003283,0.0002366,0.000209
6,0.0004597,0.0002615,0.000249,0.0002128
mean,0.16483002,0.00024928,0.000239,0.00019864
