,GLM,QRvEcon,MoorePenrose,Polynomials
1,0.7349289,8.04E-05,7.68E-05,6.96E-05
2,0.0003648,9.61E-05,0.0001029,8.62E-05
3,0.0009826,9.47E-05,0.000133,0.0001216
4,0.000325,7.99E-05,8.88E-05,0.0001296
5,0.0003846,0.0001255,0.000157,9.72E-05
6,0.0002945,7.87E-05,0.000127,1.09E-04
mean,0.14739718,9.53E-05,0.0001117,0.00010084
