,BsMD2,BsMD,JuliaCall,reticulate
1,3.846368074,0.030755997,14.26896286,15.56792212
2,4.226157904,0.027225018,0.216125965,15.16161919
3,4.094306946,0.032898903,0.308211088,16.39133286
4,4.258494854,0.024347067,0.223906994,14.02089715
5,3.855810881,0.026841879,0.311782122,15.44090104
6,4.156227732,0.026593773,0.27725472,15.23563447
Promedio,4.072894399,0.02811044,2.601040625,15.30305114
