,0
0,780.0532146785699
1,50.900077147302426
2,39.06109203796763
3,-1429.6236289950505
4,-92.27239831753377
5,724.2710430323142
6,1514.9603819818076
7,2451.554056589426
8,2661.6755868075347
9,3287.5251852807673
10,3586.534013564678
11,4707.29865649255
12,6104.145857701119
13,6581.7448410085135
14,6732.218274054303
15,12986.801150615285
16,13541.273533045933
17,17452.619236403978
18,3604.5624632486633
19,2134.1655695661943
20,-497.57316948214316
21,998.4464903575489
22,545.0787520261798
23,-1958.61850969419
24,1002.3498926228646
25,2509.85669633996
26,145.40506116081636
27,437.0191777823525
28,-1267.4405021063544
29,-1011.3635846398578
30,715.9509622718961
31,192.84753429309941
32,-24.16937368627615
33,-1217.75271665421
34,-508.63414404117407
35,2196.8757765477503
36,-920.286290546942
37,-1259.1564808150524
38,829.7307246034825
39,1254.0639441557491
40,-479.6979187964639
41,-34.48251568376437
42,658.2776294444607
43,-104.69354392756696
44,36.55107691553948
45,-1533.1966535589986
46,-1447.551950102331
47,-939.2241579180801
48,-447.12040641890655
