,0
0,2043.525409484103
1,45.02846777063605
2,39.89029617832543
3,-1672.6517185540351
4,423.9236242578829
5,652.4224503947244
6,1180.776574844962
7,1949.9187879078672
8,2342.0863410638203
9,2301.307188728393
10,1986.8931101287212
11,4717.8732830915205
12,4534.666974481654
13,6059.090693887039
14,6373.002253951948
15,20966.759169858622
16,12315.150903707052
17,17980.45349750613
18,4811.368393927694
19,1356.3411100919793
20,-699.7469162830484
21,352.0905881617221
22,598.3282461260634
23,-2123.0595022950783
24,893.4276072966313
25,2356.8449801831807
26,-570.9160156757998
27,-137.38242373116464
28,-1051.3991403917166
29,-1137.2711876321528
30,625.1735915025506
31,437.14510200217626
32,-62.75426264482712
33,-1301.0722192019825
34,-662.281373525268
35,1678.639783708551
36,-1084.4161918723312
37,-1574.1540073647093
38,578.6191948491395
39,-350.1733568884106
40,-588.5598401874436
41,-120.5388975344863
42,850.1711398900619
43,-544.3504404280275
44,-96.84668510175825
45,-1548.7042364119739
46,-1298.502971248307
47,-1460.2173107145895
48,-229.46458731619714
49,-1435.0359315813243
50,-1570.0583814644397
51,-427.0372423283627
