,0
0,1978.7511675270325
1,45.92527810375643
2,43.46502891570369
3,-1398.0361720090425
4,336.0263240527614
5,436.10327349859745
6,1064.6681849585948
7,1882.047757742409
8,2320.007597892493
9,2720.83845728013
10,2426.7254003855774
11,3627.047446851966
12,5443.994611604068
13,5890.369027568149
14,6370.997411883411
15,12002.62575440206
16,12116.717003479114
17,15720.823358825059
18,2322.6621751583734
19,1867.0318118696368
20,132.3077160516209
21,498.73625039260384
22,270.7210379226626
23,-2143.773211105602
24,1388.1107639401707
25,2328.5946603023567
26,-567.8370982126849
27,383.2699234195505
28,-1453.981141506788
29,-1274.027033824026
30,371.30540862894986
31,102.05552067372929
32,-215.26217949956776
33,-951.4560009131587
34,-495.2214549510163
35,1965.6188289868621
36,-1247.4372390867743
37,-1564.4642045802184
38,538.0191052140315
39,309.7758184692643
40,-578.9359758190536
41,-293.56166555859966
42,914.6452217516728
43,-810.3459833670324
44,-395.492085025522
45,-1808.3528689571554
46,-1576.1054960186962
47,-1393.983204616958
48,-699.6238700084398
49,-1291.0468393079718
50,-1370.4467337192978
51,-528.613257260311
