,0
0,-370.0835889602713
1,95.8746215636747
2,27.251523570115857
3,-1172.8407697868338
4,-610.8921432798252
5,235.78326298007005
6,2282.6825849262295
7,1237.5707683558967
8,3880.889251627459
9,-1156.3307829876098
10,2607.278441148847
11,5730.703445719855
12,5057.088961609261
13,13992.35631060532
14,15471.14362260016
15,-4824.903894057147
16,3582.5516523483525
17,-509.810662480427
18,1371.8547029021756
19,2301.730627992304
20,-3303.5769747364466
21,-76.23524530882241
22,1512.1192410898611
23,901.7519760503
24,-249.07718032884821
25,-85.74290009960606
26,-1029.6175546128538
27,84.11230623346401
28,2358.7840932281692
29,-671.1020233536209
30,6843.4312847845395
31,-3169.418459257208
32,3761.33647496676
33,-456.57934281025683
34,-620.5870571329634
35,-1116.092048760684
36,-2382.073945898132
37,8941.13902735295
38,548.1572968092255
39,-1494.2243423363084
40,12881.961277998118
41,-1203.5120344997388
42,427.9722799094702
43,174.83781269158817
44,-813.232288620908
45,-1272.8485560869049
46,227.38684463181198
47,-1992.859436247908
48,1444.6864625973203
