,0
0,3820.080194816629
1,44.10821798595418
2,42.44656164706032
3,-1636.9876562277932
4,14.922927919251833
5,395.04938777197253
6,961.5595035327674
7,1260.40166422426
8,1217.1138813710832
9,1697.3634009589164
10,953.9776357498379
11,2845.0499359855603
12,5480.476539730857
13,4288.405332513494
14,5197.717906050826
15,10062.165200439451
16,11689.71781784706
17,14272.324439364033
18,1008.3293773357208
19,2056.5010225203696
20,2509.030535385261
21,-234.9914775586954
22,363.19742364339425
23,-1471.2773228012356
24,726.3125825459999
25,2286.2991487744844
26,-781.7499965593752
27,-221.46894463618543
28,-991.7101427221818
29,-977.8046594086138
30,384.6262914870118
31,645.7620882585227
32,275.8862811548155
33,-137.33563441640604
34,56.06621764282187
35,991.0820320569377
36,-735.0910880143554
37,-956.1643602510525
38,348.0515566615682
39,629.505491690799
40,385.47494698586956
41,-514.8619874393464
42,557.5495915113407
43,-544.4002529566897
44,-202.33458921861865
45,-1406.3256818566952
46,-1287.6604153747123
47,-1166.5149405828422
48,-612.6815030228101
49,-699.2781812291037
50,-741.1075207288322
51,-574.0093190366474
52,-833.8532626147098
53,-495.52550500166353
54,-1328.6825694794622
