,0
0,1600.199933171939
1,46.03686650088414
2,43.697768957576514
3,-1388.4215185494572
4,364.4276863353251
5,777.3560430917405
6,1434.855324857298
7,2266.1419880695657
8,2712.1415031849447
9,3011.444162192334
10,2698.4126395437174
11,4005.515135487397
12,6130.382412749432
13,6215.337342308083
14,6701.578760466398
15,11973.15593601584
16,12457.931365844996
17,15669.24122395055
18,2227.983432885271
19,1766.4500304000162
20,214.6487290285836
21,502.5666820217407
22,226.4268012419917
23,-2134.5585868435364
24,1376.5064180369634
25,2354.874816787883
26,-603.7628145478129
27,390.40028838284655
28,-1470.8478346274046
29,-1319.1091622527692
30,378.5032661474154
31,192.5925123797424
32,-209.31026433693341
33,-993.9582171792588
34,-455.5895628638582
35,1974.4013829431374
36,-1261.4155198794783
37,-1564.6291694130923
38,532.8710391360725
39,259.8290444051838
40,-661.3391149646145
41,-305.84103006922373
42,967.3035092218502
43,-868.7236528446999
44,-401.2148207225167
45,-1852.2599053420888
46,-1586.1695404213842
47,-1397.9716920094309
48,-734.7224239978036
49,-1299.7005595949986
50,-1380.245604390453
