,0
0,2706.229064553752
1,38.178687374019404
2,39.24371731376618
3,-1467.2731659389399
4,2286.2556068500735
5,741.1251101931022
6,1119.6418934021897
7,1854.1297251037563
8,1161.7649918413128
9,1479.8251832054357
10,2109.1036753969356
11,1564.903341948627
12,1061.2785713370029
13,4350.725487393027
14,5903.708221639645
15,6753.757977523569
16,10687.412269050366
17,21294.266560145807
18,3542.364887864913
19,1053.9157461069146
20,-396.53482808999496
21,1099.1814699978474
22,1128.8197788822959
23,-517.9448446668821
24,1124.0835487921213
25,3618.4841155417766
26,961.0600612805664
27,646.003803034251
28,-52.56222067313719
29,103.7144399247536
30,1642.964999401701
31,690.5110554930815
32,2897.7264171993884
33,193.41206776334727
34,652.8334625769787
35,2920.3580849527984
36,313.7884878860417
37,-150.54654299832373
38,1758.404122715484
39,1395.3554882936041
40,1007.5870753987415
41,1123.2409042516524
42,8234.045515301761
43,388.2481397617283
44,835.8981050741374
45,-90.33996777565949
46,-335.74684011029535
47,234.82438815257592
48,626.6175946063961
49,-910.1089468155894
50,-903.5456746982925
51,-345.2071212341086
52,-653.8411622559922
53,-1617.823067033992
54,-369.1757077504453
