,0
0,6510.535188688701
1,45.900077286700366
2,38.89433587004798
3,-1484.8580551100026
4,2241.7956823552677
5,2706.4604743607365
6,2593.265387976238
7,3164.96987411956
8,4058.415547599056
9,2634.004096643065
10,6310.779494504488
11,13501.503530449929
12,5981.635552898724
13,13892.887113248413
14,11289.874602811264
15,-8707.213574258683
16,-6796.741118813739
17,-8564.779231003122
18,-6709.779050441151
19,-5660.431985115127
20,-7016.241739913574
21,-6123.321561716939
22,-3720.320813061762
23,-3994.7590738110375
24,-3840.0949595298875
25,-6099.777355210153
26,-7962.027966096292
27,-4888.986190519937
28,-6486.896077187929
29,-4301.241034454508
30,-8626.573714845892
31,-8073.897744826114
32,-3524.1788226960234
33,-6867.385426510515
34,-5683.567464954537
35,-5267.514815348339
36,-4456.873008662118
37,-5840.3397816755405
38,-5321.585897166175
39,-2633.970123662282
40,-3321.7975874614685
41,-2268.2208968771506
42,-5546.562684847316
43,-6145.424714872304
44,-6570.717499247453
45,-6044.836435969148
46,-1115.959639214883
47,-834.6686577131036
48,1918.3502763406464
49,-395.01808559812775
50,-1305.4443115470517
