,0
0,2357.4613420161586
1,31.334067094872044
2,84.84833073050571
3,-1308.3572309157341
4,1626.358980260447
5,2776.190615295197
6,4909.802279828192
7,5958.742007558706
8,14403.282215929741
9,5782.3923878371725
10,5699.521737005173
11,8098.773237478292
12,8225.652400083103
13,16722.73091546619
14,13098.565029070103
15,8261.489412948831
16,1242.9289420736923
17,-5846.462060614526
18,-2931.3332569198737
19,-5119.247623894066
20,-6967.293352849924
21,-4815.720719280114
22,454.7499648204795
23,-5242.021318487349
24,-1291.3255228389382
25,-4541.008298646604
26,-4881.496666962942
27,-2921.4985070936814
28,-1075.0473570490738
29,-4278.210772463793
30,-7313.14868630504
31,-6382.747878753605
32,-2675.001064911884
33,-5133.1999802641285
34,-5130.694977308375
35,-3084.8243502775504
36,-2104.5548065808453
37,-4441.6963930353395
38,-4171.399683612962
39,-4861.451714041446
40,-3186.1429050029365
41,-4906.557876439039
42,-6070.514482951801
43,-4599.134886601493
44,-4962.906366506231
45,-4325.346575644537
