,0
0,7073.300869346387
1,27.886302669006863
2,0.18829476423667302
3,-2333.4142493672553
4,1036.5604392436771
5,204.12205580671616
6,822.4820753940908
7,-188.81134147629564
8,-253.37669678218867
9,-1989.7832121392717
10,588.1681138443411
11,12781.264944714203
12,4001.7031973389558
13,24667.52908531304
14,5675.253338966871
15,231.46965025444126
16,-2014.867318898713
17,-167.84487259416937
18,67.88731423394302
19,1576.2854879335314
20,-3909.0571723022385
21,-889.3595343433732
22,3136.7205776984274
23,155.29573369162063
24,1979.2389337879556
25,-1207.709795836025
26,-2382.197838733257
27,1861.694909220608
28,-1300.1987010446053
29,-937.9267148109377
30,-2234.875396744619
31,223.83365843660943
32,-932.8209370740265
33,-1062.329370949224
34,78.26053471665841
35,-3763.6288556519003
36,-2122.0104795571833
37,-2096.7653443839986
38,-1506.2559361901158
39,-1966.0214863363317
40,-1930.366916354118
41,-1218.9270782287126
42,-2304.4460333544007
43,-1195.0008124387523
44,-1136.9494546882804
45,808.2996161823658
46,-1056.4125102666326
47,241.01999733995058
48,-1830.3767161511764
49,252.0348852528807
50,-152.82870133363758
51,-2566.9195407986745
