,0
0,1418.6466716939285
1,44.812219434404945
2,45.01282480568399
3,-1400.6384750770947
4,528.8199940324805
5,830.7130657158095
6,1563.9717130367453
7,2309.511135017996
8,2531.8664830914304
9,2616.067255190681
10,3218.7253838843444
11,4057.678086890347
12,6630.602730226514
13,6056.206256499782
14,6769.750774769045
15,11346.23183400295
16,12486.81193374689
17,16861.032265592854
18,3363.6842194691544
19,1886.42450066027
20,-54.39191823029432
21,527.8019762281149
22,162.61028609314803
23,-2057.870784228178
24,1989.009464644807
25,2132.453762180965
26,-425.57938284810143
27,423.4950378283989
28,-1404.9136731143171
29,-1055.9075213221322
30,441.76551217217093
31,283.77997719336867
32,-197.31079186206534
33,-688.6017959161462
34,-377.0328166566021
35,1874.1651926154805
36,-1110.7146427208963
37,-1502.0199621116114
38,809.1706013872379
39,449.5506442567405
40,-581.760037875222
41,-245.68452271907904
42,1049.8278131313975
43,-539.8145384264019
44,-257.91769082868973
45,-1724.8588618023173
46,-1440.4793972495636
47,-1269.0185244029237
48,-612.8919815508422
49,-1309.644668366579
50,-1385.4021602005992
