,0
0,2983.790072467008
1,27.684760831929708
2,44.197190730393736
3,-685.0147352320587
4,-274.9119918072852
5,765.3547152969209
6,1010.0075481337963
7,2656.4744227233605
8,1595.0430045965977
9,-1582.0232136917575
10,2661.050935453988
11,2334.510841272545
12,3643.494050642138
13,4774.17698556337
14,5421.061781540489
15,9286.67929583091
16,9933.74470245635
17,16127.835539872069
18,1576.6957697607727
19,2377.219616801381
20,605.5980520798587
21,874.8937496699714
22,-82.90351350325068
23,-1710.829337828748
24,711.4869140043397
25,1413.582343536982
26,-218.75816709638048
27,-256.50844337466054
28,-1146.258404353338
29,-1129.4859718925622
30,-66.75935601372339
31,1901.9335701118575
32,-279.6738370137716
33,-961.8526453403056
34,-351.251369425818
35,1927.973681693179
36,-731.6217943715171
37,-1438.7266797440568
38,1774.3569225553574
39,966.3861418665979
40,-1239.2490806897608
41,-605.1603586296358
42,-238.23411399895053
43,-1200.3027914565969
44,-504.12373779954964
45,-1836.303988345397
46,-1438.759754601285
47,-1569.6653025729665
48,-889.2175637859368
49,-652.2166689001165
50,-986.8285429160051
51,-227.07125404076123
52,-3078.5647588393003
53,1471.8580761452172
