,0
0,3019.93312356284
1,50.02332362317213
2,32.26540195379309
3,-1117.0952958398511
4,-933.5539581320932
5,205.80127916064362
6,919.1781927806433
7,1123.0375156138693
8,1514.5615905931231
9,1725.5530004022517
10,613.3764252696801
11,3847.2631144588686
12,6179.14307885751
13,3752.544408245659
14,4832.04431322792
15,10500.986865015006
16,8352.543826310823
17,8224.071404851627
18,214.6335667015927
19,11194.474841452618
20,-299.8912931040933
21,370.69448365853407
22,5151.556430975749
23,-1599.8876340282186
24,1042.291242637789
25,850.1864307314545
26,-897.3231337918467
27,201.0390248252649
28,-746.1032327562287
29,-13.277460055288827
30,711.3121224330404
31,-156.30790790758635
32,36.6030487666072
33,-1259.586005433415
34,-461.3413858530104
35,705.7818212693525
36,-311.7540202985507
37,114.59300757638863
38,355.78974352757456
39,249.51778795537052
40,-103.93608971062918
41,181.5708583995081
42,32.036005888145496
43,-532.9777812926816
44,132.78354961001614
45,-1758.8397609715282
46,-1269.058871402773
47,-1146.7098076925986
48,-46.41169696692583
49,-161.51121184446708
50,-953.4721401571011
51,-531.6932551487598
52,-1994.4897665032415
